,year,total,top1_n_municipalities,top1_share,top5_n_municipalities,top5_share,max_municipality_share
0,2015,49681,25,0.4922404943539784,124,0.8462993901088948,0.04551035607173769
1,2016,48087,25,0.4953729698255246,124,0.844510990496392,0.06265726703682908
2,2017,65963,25,0.5508391067719782,124,0.8570107484498886,0.1038612555523551
3,2018,83000,25,0.5713373493975904,124,0.863855421686747,0.0898433734939759
4,2019,94038,25,0.557657542695506,124,0.8571747591399221,0.07825559880048491
5,2020,94598,25,0.5842618237172034,124,0.854045540074843,0.13192667921097698
6,2021,101268,25,0.5841825650748509,124,0.8525397953943991,0.20526721175494728
7,2022,106236,25,0.5622387891110358,124,0.8430287284912835,0.1783764448962687
8,2023,108117,25,0.5453813923804767,124,0.8404691214147636,0.1444916155646198
9,2024,110143,25,0.5508202972499388,124,0.8500040855978137,0.14206985464350888
10,2025,122757,25,0.5208175501193415,124,0.8213951139242569,0.12978485951921276
