CVEGEO,year,crime_count,observed_g,z_score,cluster,p_sim,significant,state,municipality
05021,2015,3.0,0.0003542815733322598,-0.020829239843650833,ns,0.22,False,Coahuila de Zaragoza,Nadadores
05022,2015,34.0,0.0012454596115240263,0.35446149745337735,ns,0.104,False,Coahuila de Zaragoza,Nava
05023,2015,7.0,0.001011595603333736,0.25611979294384934,ns,0.121,False,Coahuila de Zaragoza,Ocampo
05024,2015,17.0,0.001996272091310751,0.670858684985409,HS,0.047,True,Coahuila de Zaragoza,Parras
05025,2015,313.0,0.00037136066547831253,-0.013564477848728641,ns,0.152,False,Coahuila de Zaragoza,Piedras Negras
05026,2015,2.0,0.000520484366777569,0.049204063183554324,ns,0.2,False,Coahuila de Zaragoza,Progreso
05027,2015,115.0,0.0015871094433011874,0.49758198767726924,ns,0.066,False,Coahuila de Zaragoza,Ramos Arizpe
05028,2015,73.0,0.00048379293662312523,0.033696193183425,ns,0.211,False,Coahuila de Zaragoza,Sabinas
05029,2015,0.0,0.00032205470904369887,-0.03441069402652382,ns,0.224,False,Coahuila de Zaragoza,Sacramento
05030,2015,453.0,0.00034533192492077673,-0.024444038623996012,ns,0.277,False,Coahuila de Zaragoza,Saltillo
05031,2015,30.0,0.00039993439924961943,-0.0015917988367220514,ns,0.241,False,Coahuila de Zaragoza,San Buenaventura
05032,2015,42.0,0.0015008360361812286,0.4619287477060321,ns,0.071,False,Coahuila de Zaragoza,San Juan de Sabinas
05033,2015,110.0,0.0008109580198099697,0.17124871734283018,ns,0.128,False,Coahuila de Zaragoza,San Pedro
05034,2015,2.0,0.00024442636008891366,-0.06711993061808162,ns,0.307,False,Coahuila de Zaragoza,Sierra Mojada
05035,2015,542.0,0.0009524003337471256,0.22959906838237817,ns,0.113,False,Coahuila de Zaragoza,Torreón
05036,2015,6.0,0.0018184868310686126,0.5961009804037563,ns,0.059,False,Coahuila de Zaragoza,Viesca
05037,2015,8.0,0.0005596601775612507,0.06570366897924768,ns,0.163,False,Coahuila de Zaragoza,Villa Unión
