CVEGEO,year,crime_count,local_I,quadrant_code,cluster,p_sim,significant,state,municipality
05030,2015,453.0,-0.09496426186423201,4,ns,0.277,False,Coahuila de Zaragoza,Saltillo
05031,2015,30.0,-0.00013723174272017963,4,ns,0.24,False,Coahuila de Zaragoza,San Buenaventura
05032,2015,42.0,0.08599100203965256,1,ns,0.071,False,Coahuila de Zaragoza,San Juan de Sabinas
05033,2015,110.0,0.130405288327964,1,ns,0.128,False,Coahuila de Zaragoza,San Pedro
05034,2015,2.0,0.01026579203738565,3,ns,0.307,False,Coahuila de Zaragoza,Sierra Mojada
05035,2015,542.0,1.0045250566221346,1,ns,0.113,False,Coahuila de Zaragoza,Torreón
05036,2015,6.0,-0.07103752837119853,2,ns,0.059,False,Coahuila de Zaragoza,Viesca
05037,2015,8.0,-0.006718932176979495,2,ns,0.163,False,Coahuila de Zaragoza,Villa Unión
05038,2015,9.0,-0.0806420302995964,2,LH,0.041,True,Coahuila de Zaragoza,Zaragoza
06001,2015,33.0,0.10462053822047858,1,HH,0.042,True,Colima,Armería
06002,2015,91.0,0.04186234050034905,1,ns,0.201,False,Colima,Colima
06003,2015,2.0,0.018427701933476655,3,ns,0.415,False,Colima,Comala
06004,2015,5.0,-0.07230470231395891,2,ns,0.068,False,Colima,Coquimatlán
06005,2015,29.0,-0.0018560363434248202,4,ns,0.241,False,Colima,Cuauhtémoc
06006,2015,3.0,-0.08825118533083826,2,ns,0.059,False,Colima,Ixtlahuacán
06007,2015,210.0,-0.12365808051348048,4,ns,0.252,False,Colima,Manzanillo
06008,2015,4.0,-0.019571817975963784,2,ns,0.145,False,Colima,Minatitlán
06009,2015,182.0,0.08098976365135657,1,ns,0.161,False,Colima,Tecomán
06010,2015,1.0,-0.008429739662689478,2,ns,0.168,False,Colima,Villa de Álvarez
07001,2015,2.0,0.023111525226119787,3,ns,0.476,False,Chiapas,Acacoyagua
07002,2015,3.0,0.021261559022329048,3,ns,0.401,False,Chiapas,Acala
07003,2015,2.0,0.019800386779637413,3,ns,0.384,False,Chiapas,Acapetahua
07004,2015,0.0,0.025672525092428337,3,ns,0.473,False,Chiapas,Altamirano
07005,2015,1.0,0.024343081280923384,3,ns,0.363,False,Chiapas,Amatán
07006,2015,0.0,0.026033117973016006,3,ns,0.379,False,Chiapas,Amatenango de la Frontera
07007,2015,0.0,0.007282288182457308,3,ns,0.255,False,Chiapas,Amatenango del Valle
07008,2015,1.0,0.02541984660463826,3,ns,0.283,False,Chiapas,Angel Albino Corzo
07009,2015,13.0,0.0060256047070803564,3,ns,0.323,False,Chiapas,Arriaga
07010,2015,0.0,0.028629386713247208,3,ns,0.088,False,Chiapas,Bejucal de Ocampo
07011,2015,0.0,0.026033117973016,3,ns,0.367,False,Chiapas,Bella Vista
07012,2015,7.0,-0.05703143826712398,2,ns,0.07,False,Chiapas,Berriozábal
07013,2015,7.0,0.017413103827319837,3,ns,0.226,False,Chiapas,Bochil
07014,2015,0.0,0.02112905479702373,3,ns,0.37,False,Chiapas,El Bosque
07015,2015,6.0,-0.025555400568985982,2,ns,0.1,False,Chiapas,Cacahoatán
07016,2015,4.0,0.011025076941965369,3,ns,0.217,False,Chiapas,Catazajá
07017,2015,22.0,-0.002237223863124617,4,ns,0.462,False,Chiapas,Cintalapa
07018,2015,0.0,0.025552327465565777,3,ns,0.415,False,Chiapas,Coapilla
07019,2015,44.0,-0.032823368632666564,4,ns,0.118,False,Chiapas,Comitán de Domínguez
07020,2015,3.0,0.020735897849433846,3,ns,0.438,False,Chiapas,La Concordia
07021,2015,5.0,0.019540689646579974,3,ns,0.317,False,Chiapas,Copainalá
07022,2015,0.0,0.025456169364075732,3,ns,0.444,False,Chiapas,Chalchihuitán
07023,2015,0.0,0.02098481764478866,3,ns,0.445,False,Chiapas,Chamula
07024,2015,0.0,0.010579137376401695,3,ns,0.297,False,Chiapas,Chanal
07025,2015,1.0,0.025591150178865627,3,ns,0.205,False,Chiapas,Chapultenango
07026,2015,1.0,0.02713288234691193,3,LL,0.026,True,Chiapas,Chenalhó
07027,2015,16.0,-0.004858174703580373,2,ns,0.165,False,Chiapas,Chiapa de Corzo
07028,2015,0.0,0.027475489495366667,3,ns,0.37,False,Chiapas,Chiapilla
07029,2015,2.0,0.02235407525470225,3,ns,0.457,False,Chiapas,Chicoasén
07030,2015,3.0,0.022312881368119455,3,ns,0.31,False,Chiapas,Chicomuselo
07031,2015,1.0,0.020794650100499346,3,ns,0.482,False,Chiapas,Chilón
07032,2015,4.0,0.01852997569541969,3,ns,0.471,False,Chiapas,Escuintla
07033,2015,0.0,0.02483114170439044,3,ns,0.457,False,Chiapas,Francisco León
07034,2015,9.0,0.014664701051657184,3,ns,0.34,False,Chiapas,Frontera Comalapa
07035,2015,3.0,-0.02201787754604267,2,ns,0.119,False,Chiapas,Frontera Hidalgo
07036,2015,0.0,0.02891786101771734,3,ns,0.05,False,Chiapas,La Grandeza
07037,2015,2.0,-0.025257065805828607,2,ns,0.114,False,Chiapas,Huehuetán
07038,2015,1.0,0.015415717869760022,3,ns,0.28,False,Chiapas,Huixtán
07039,2015,0.0,0.022571426319374397,3,ns,0.408,False,Chiapas,Huitiupán
07040,2015,12.0,0.00854867616966847,3,ns,0.441,False,Chiapas,Huixtla
07041,2015,0.0,0.004878335645206194,3,ns,0.156,False,Chiapas,La Independencia
07042,2015,0.0,0.025827064898394474,3,ns,0.348,False,Chiapas,Ixhuatán
07043,2015,0.0,0.024230153570077666,3,ns,0.432,False,Chiapas,Ixtacomitán
07044,2015,0.0,0.023148374928314664,3,ns,0.474,False,Chiapas,Ixtapa
07045,2015,1.0,0.023638289432673643,3,ns,0.493,False,Chiapas,Ixtapangajoya
07046,2015,3.0,0.0049660626625777525,3,ns,0.189,False,Chiapas,Jiquipilas
07047,2015,9.0,0.01325377988277916,3,ns,0.43,False,Chiapas,Jitotol
07048,2015,5.0,-0.006659606841966682,2,ns,0.168,False,Chiapas,Juárez
07049,2015,1.0,0.025762453753093,3,ns,0.163,False,Chiapas,Larráinzar
