"mun_idx","mun_id"
1250,"20206"
1251,"20521"
1252,"20001"
1253,"20256"
1254,"20003"
1255,"20263"
1256,"20004"
1257,"20007"
1258,"20267"
1259,"20011"
1260,"20027"
1261,"20030"
1262,"20519"
1263,"20034"
1264,"20013"
1265,"20017"
1266,"20049"
1267,"20520"
1268,"20019"
1269,"20022"
1270,"20024"
1271,"20025"
1272,"20026"
1273,"20029"
1274,"20032"
1275,"20033"
1276,"20050"
1277,"20536"
1278,"20037"
1279,"20040"
1280,"20045"
1281,"20053"
1282,"20046"
1283,"20172"
1284,"20048"
1285,"20522"
1286,"20456"
1287,"20060"
1288,"20061"
1289,"20062"
1290,"20063"
1291,"20065"
1292,"20069"
1293,"20070"
1294,"20072"
1295,"20074"
1296,"20078"
1297,"20077"
1298,"20081"
1299,"20092"
1300,"20080"
1301,"20084"
1302,"20082"
1303,"20086"
1304,"20083"
1305,"20087"
1306,"20089"
1307,"20090"
1308,"20091"
1309,"20095"
1310,"20100"
1311,"20199"
1312,"20102"
1313,"20233"
1314,"20103"
1315,"20105"
1316,"20107"
1317,"20108"
1318,"20109"
1319,"20110"
1320,"20111"
1321,"20527"
1322,"20116"
1323,"20114"
1324,"20115"
1325,"20119"
1326,"20014"
1327,"20123"
1328,"20122"
1329,"20126"
1330,"20127"
1331,"20128"
1332,"20529"
1333,"20131"
1334,"20130"
1335,"20152"
1336,"20132"
1337,"20135"
1338,"20136"
1339,"20137"
1340,"20139"
1341,"20142"
1342,"20140"
1343,"20160"
1344,"20143"
1345,"20144"
1346,"20145"
1347,"20531"
1348,"20146"
1349,"20148"
1350,"20151"
1351,"20157"
1352,"20248"
1353,"20158"
1354,"20162"
1355,"20176"
1356,"20165"
1357,"20167"
1358,"20530"
1359,"20187"
1360,"20171"
1361,"20188"
1362,"20173"
1363,"20174"
1364,"20191"
1365,"20196"
1366,"20178"
1367,"20197"
1368,"20180"
1369,"20215"
1370,"20181"
1371,"20480"
1372,"20182"
1373,"20183"
1374,"20189"
1375,"20192"
1376,"20193"
1377,"20194"
1378,"20195"
1379,"20210"
1380,"20200"
1381,"20201"
1382,"20203"
1383,"20208"
1384,"20209"
1385,"20284"
1386,"20219"
1387,"20216"
1388,"20221"
1389,"20222"
