CVEGEO,year,state,municipality,crime_count,population,log_pop
7006,2015,Chiapas,Amatenango de la Frontera,0,30641.0,10.330094260397669
7007,2015,Chiapas,Amatenango del Valle,0,10005.5,9.210890220781618
7008,2015,Chiapas,Angel Albino Corzo,1,29287.5,10.284916082816052
7009,2015,Chiapas,Arriaga,13,40588.5,10.61124005423509
7010,2015,Chiapas,Bejucal de Ocampo,0,7494.0,8.921857979353632
7011,2015,Chiapas,Bella Vista,0,19719.0,9.889337916931686
7012,2015,Chiapas,Berriozábal,7,53905.5,10.894987792507605
7013,2015,Chiapas,Bochil,7,33952.5,10.432717767978223
7014,2015,Chiapas,El Bosque,0,21416.0,9.971893585200188
7015,2015,Chiapas,Cacahoatán,6,46961.5,10.757083396070206
7016,2015,Chiapas,Catazajá,4,17379.5,9.7630466297059
7017,2015,Chiapas,Cintalapa,22,83110.0,11.327920310547071
7018,2015,Chiapas,Coapilla,0,9172.0,9.123910643977796
7019,2015,Chiapas,Comitán de Domínguez,44,153595.5,11.942077802391546
7020,2015,Chiapas,La Concordia,3,47001.0,10.757924157061597
7021,2015,Chiapas,Copainalá,5,21621.0,9.98142034359255
7022,2015,Chiapas,Chalchihuitán,0,17971.0,9.796514626532023
7023,2015,Chiapas,Chamula,0,89454.0,11.401479805656454
7024,2015,Chiapas,Chanal,0,12247.5,9.41307711351273
7025,2015,Chiapas,Chapultenango,1,7402.0,8.909505512946101
7026,2015,Chiapas,Chenalhó,1,41741.0,10.63923913817842
7027,2015,Chiapas,Chiapa de Corzo,16,99839.0,11.511314167527452
7028,2015,Chiapas,Chiapilla,0,5780.5,8.662245463115376
7029,2015,Chiapas,Chicoasén,2,5210.0,8.558335134747413
7030,2015,Chiapas,Chicomuselo,3,34150.0,10.438517864998936
7031,2015,Chiapas,Chilón,1,124408.0,11.731321765901173
7032,2015,Chiapas,Escuintla,4,30482.0,10.324891624445796
7033,2015,Chiapas,Francisco León,0,7122.5,8.871014066372064
7034,2015,Chiapas,Frontera Comalapa,9,73954.5,11.21120531821452
7035,2015,Chiapas,Frontera Hidalgo,3,13610.5,9.518596832663572
7036,2015,Chiapas,La Grandeza,0,7486.5,8.920856677577774
7037,2015,Chiapas,Huehuetán,2,34888.5,10.459912540995234
7038,2015,Chiapas,Huixtán,1,22241.0,10.009692711382444
7039,2015,Chiapas,Huitiupán,0,25214.5,10.135174504847631
7040,2015,Chiapas,Huixtla,12,52300.5,10.864761210236761
7041,2015,Chiapas,La Independencia,0,43837.5,10.688244894448433
7042,2015,Chiapas,Ixhuatán,0,10808.0,9.288041879640035
7043,2015,Chiapas,Ixtacomitán,0,10568.5,9.265633157724892
7044,2015,Chiapas,Ixtapa,0,26758.0,10.194588773033564
7045,2015,Chiapas,Ixtapangajoya,1,5881.0,8.679482094459956
7046,2015,Chiapas,Jiquipilas,3,39440.5,10.582548486121
7047,2015,Chiapas,Jitotol,9,21824.5,9.99078847093793
7048,2015,Chiapas,Juárez,5,21445.5,9.973270112137328
7049,2015,Chiapas,Larráinzar,1,25804.0,10.158284797652133
7050,2015,Chiapas,La Libertad,0,5103.0,8.537583881063972
7051,2015,Chiapas,Mapastepec,3,45021.5,10.714895432430774
7052,2015,Chiapas,Las Margaritas,1,126255.5,11.746062910545144
7053,2015,Chiapas,Mazapa de Madero,1,7847.0,8.967886572127473
7054,2015,Chiapas,Mazatán,8,27411.5,10.21871791235258
7055,2015,Chiapas,Metapa,4,5454.5,8.604196235037811
7056,2015,Chiapas,Mitontic,0,12456.0,9.429957713513835
7057,2015,Chiapas,Motozintla,13,72758.5,11.194901016696626
7058,2015,Chiapas,Nicolás Ruíz,0,4541.0,8.420902531097951
7059,2015,Chiapas,Ocosingo,6,216769.0,12.286587549393847
7060,2015,Chiapas,Ocotepec,0,12983.0,9.471396088360253
