,CVEGEO,year,state,municipality,crime_count
129,07046,2015,Chiapas,Jiquipilas,3
130,07047,2015,Chiapas,Jitotol,9
131,07048,2015,Chiapas,Juárez,5
132,07049,2015,Chiapas,Larráinzar,1
133,07050,2015,Chiapas,La Libertad,0
134,07051,2015,Chiapas,Mapastepec,3
135,07052,2015,Chiapas,Las Margaritas,1
136,07053,2015,Chiapas,Mazapa de Madero,1
137,07054,2015,Chiapas,Mazatán,8
138,07055,2015,Chiapas,Metapa,4
139,07056,2015,Chiapas,Mitontic,0
140,07057,2015,Chiapas,Motozintla,13
141,07058,2015,Chiapas,Nicolás Ruíz,0
142,07059,2015,Chiapas,Ocosingo,6
143,07060,2015,Chiapas,Ocotepec,0
144,07061,2015,Chiapas,Ocozocoautla de Espinosa,17
145,07062,2015,Chiapas,Ostuacán,1
146,07063,2015,Chiapas,Osumacinta,2
147,07064,2015,Chiapas,Oxchuc,2
148,07065,2015,Chiapas,Palenque,30
149,07066,2015,Chiapas,Pantelhó,0
150,07067,2015,Chiapas,Pantepec,0
151,07068,2015,Chiapas,Pichucalco,8
152,07069,2015,Chiapas,Pijijiapan,11
153,07070,2015,Chiapas,El Porvenir,0
154,07071,2015,Chiapas,Villa Comaltitlán,3
155,07072,2015,Chiapas,Pueblo Nuevo Solistahuacán,10
156,07073,2015,Chiapas,Rayón,0
157,07074,2015,Chiapas,Reforma,14
158,07075,2015,Chiapas,Las Rosas,1
159,07076,2015,Chiapas,Sabanilla,1
160,07077,2015,Chiapas,Salto de Agua,2
161,07078,2015,Chiapas,San Cristóbal de las Casas,41
162,07079,2015,Chiapas,San Fernando,3
163,07080,2015,Chiapas,Siltepec,0
164,07081,2015,Chiapas,Simojovel,10
165,07082,2015,Chiapas,Sitalá,0
166,07083,2015,Chiapas,Socoltenango,0
167,07084,2015,Chiapas,Solosuchiapa,3
168,07085,2015,Chiapas,Soyaló,0
169,07086,2015,Chiapas,Suchiapa,7
170,07087,2015,Chiapas,Suchiate,13
171,07088,2015,Chiapas,Sunuapa,0
172,07089,2015,Chiapas,Tapachula,133
173,07090,2015,Chiapas,Tapalapa,0
174,07091,2015,Chiapas,Tapilula,0
175,07092,2015,Chiapas,Tecpatán,2
176,07093,2015,Chiapas,Tenejapa,0
177,07094,2015,Chiapas,Teopisca,1
178,07096,2015,Chiapas,Tila,0
179,07097,2015,Chiapas,Tonalá,12
180,07098,2015,Chiapas,Totolapa,0
181,07099,2015,Chiapas,La Trinitaria,5
182,07100,2015,Chiapas,Tumbalá,0
183,07101,2015,Chiapas,Tuxtla Gutiérrez,377
184,07102,2015,Chiapas,Tuxtla Chico,2
185,07103,2015,Chiapas,Tuzantán,5
186,07104,2015,Chiapas,Tzimol,1
187,07105,2015,Chiapas,Unión Juárez,1
188,07106,2015,Chiapas,Venustiano Carranza,3
189,07107,2015,Chiapas,Villa Corzo,1
190,07108,2015,Chiapas,Villaflores,12
191,07109,2015,Chiapas,Yajalón,1
192,07110,2015,Chiapas,San Lucas,0
193,07111,2015,Chiapas,Zinacantán,0
194,07112,2015,Chiapas,San Juan Cancuc,0
195,07113,2015,Chiapas,Aldama,1
196,07114,2015,Chiapas,Benemérito de las Américas,0
197,07115,2015,Chiapas,Maravilla Tenejapa,0
198,07116,2015,Chiapas,Marqués de Comillas,0
199,07117,2015,Chiapas,Montecristo de Guerrero,0
200,07118,2015,Chiapas,San Andrés Duraznal,0
201,07119,2015,Chiapas,Santiago el Pinar,1
202,07120,2015,,,0
203,07121,2015,,,0
204,07122,2015,,,0
205,07123,2015,,,0
206,07124,2015,,,0
207,07125,2015,,,0
208,08001,2015,Chihuahua,Ahumada,11
209,08002,2015,Chihuahua,Aldama,9
210,08003,2015,Chihuahua,Allende,2
211,08004,2015,Chihuahua,Aquiles Serdán,1
212,08005,2015,Chihuahua,Ascensión,2
213,08006,2015,Chihuahua,Bachíniva,0
214,08007,2015,Chihuahua,Balleza,0
215,08008,2015,Chihuahua,Batopilas de Manuel Gómez Morín,0
216,08009,2015,Chihuahua,Bocoyna,5
217,08010,2015,Chihuahua,Buenaventura,4
218,08011,2015,Chihuahua,Camargo,12
219,08012,2015,Chihuahua,Carichí,0
220,08013,2015,Chihuahua,Casas Grandes,1
221,08014,2015,Chihuahua,Coronado,0
222,08015,2015,Chihuahua,Coyame del Sotol,0
223,08016,2015,Chihuahua,La Cruz,0
224,08017,2015,Chihuahua,Cuauhtémoc,31
225,08018,2015,Chihuahua,Cusihuiriachi,1
226,08019,2015,Chihuahua,Chihuahua,1383
227,08020,2015,Chihuahua,Chínipas,0
228,08021,2015,Chihuahua,Delicias,69
229,08022,2015,Chihuahua,Dr. Belisario Domínguez,0
230,08023,2015,Chihuahua,Galeana,0
231,08024,2015,Chihuahua,Santa Isabel,1
232,08025,2015,Chihuahua,Gómez Farías,0
233,08026,2015,Chihuahua,Gran Morelos,1
234,08027,2015,Chihuahua,Guachochi,9
235,08028,2015,Chihuahua,Guadalupe,1
236,08029,2015,Chihuahua,Guadalupe y Calvo,1
237,08030,2015,Chihuahua,Guazapares,0
238,08031,2015,Chihuahua,Guerrero,3
239,08032,2015,Chihuahua,Hidalgo del Parral,158
240,08033,2015,Chihuahua,Huejotitán,0
241,08034,2015,Chihuahua,Ignacio Zaragoza,0
242,08035,2015,Chihuahua,Janos,1
243,08036,2015,Chihuahua,Jiménez,14
244,08037,2015,Chihuahua,Juárez,1923
245,08038,2015,Chihuahua,Julimes,1
246,08039,2015,Chihuahua,López,0
247,08040,2015,Chihuahua,Madera,3
248,08041,2015,Chihuahua,Maguarichi,0
249,08042,2015,Chihuahua,Manuel Benavides,0
250,08043,2015,Chihuahua,Matachí,0
251,08044,2015,Chihuahua,Matamoros,0
252,08045,2015,Chihuahua,Meoqui,19
253,08046,2015,Chihuahua,Morelos,0
254,08047,2015,Chihuahua,Moris,0
255,08048,2015,Chihuahua,Namiquipa,2
256,08049,2015,Chihuahua,Nonoava,0
257,08050,2015,Chihuahua,Nuevo Casas Grandes,14
258,08051,2015,Chihuahua,Ocampo,2
259,08052,2015,Chihuahua,Ojinaga,5
260,08053,2015,Chihuahua,Praxedis G. Guerrero,0
261,08054,2015,Chihuahua,Riva Palacio,0
262,08055,2015,Chihuahua,Rosales,0
263,08056,2015,Chihuahua,Rosario,1
264,08057,2015,Chihuahua,San Francisco de Borja,0
265,08058,2015,Chihuahua,San Francisco de Conchos,0
266,08059,2015,Chihuahua,San Francisco del Oro,1
267,08060,2015,Chihuahua,Santa Bárbara,6
268,08061,2015,Chihuahua,Satevó,2
269,08062,2015,Chihuahua,Saucillo,10
270,08063,2015,Chihuahua,Temósachic,0
271,08064,2015,Chihuahua,El Tule,1
272,08065,2015,Chihuahua,Urique,1
273,08066,2015,Chihuahua,Uruachi,0
